file,plate,confidence,error,method,video,predicted,expected,exact_match,similarity,ground_truth_count
VID2EDIT ‐ Hecho con Clipchamp_v177_best.jpg,,0.0,,google_vision,VID2EDIT ‐ Hecho con Clipchamp.mp4,,TEQ-850,False,0.0,14
VID2EDIT ‐ Hecho con Clipchamp_v182_best.jpg,16C-533,0.0,,google_vision,VID2EDIT ‐ Hecho con Clipchamp.mp4,16C-533,T6C-533,False,0.8333,14
VID2EDIT ‐ Hecho con Clipchamp_v19_best.jpg,T7F-234,0.0,,google_vision,VID2EDIT ‐ Hecho con Clipchamp.mp4,T7F-234,T7Q-367,False,0.5,14
VID2EDIT ‐ Hecho con Clipchamp_v1_best.jpg,T PERU,0.0,,google_vision,VID2EDIT ‐ Hecho con Clipchamp.mp4,TPERU,TEQ-850,False,0.3636,14
VID2EDIT ‐ Hecho con Clipchamp_v22_best.jpg,,0.0,,google_vision,VID2EDIT ‐ Hecho con Clipchamp.mp4,,TEQ-850,False,0.0,14
VID2EDIT ‐ Hecho con Clipchamp_v24_best.jpg,,0.0,,google_vision,VID2EDIT ‐ Hecho con Clipchamp.mp4,,TEQ-850,False,0.0,14
VID2EDIT ‐ Hecho con Clipchamp_v25_best.jpg,T7F-234,0.0,,google_vision,VID2EDIT ‐ Hecho con Clipchamp.mp4,T7F-234,T7Q-367,False,0.5,14
VID2EDIT ‐ Hecho con Clipchamp_v28_best.jpg,,0.0,,google_vision,VID2EDIT ‐ Hecho con Clipchamp.mp4,,TEQ-850,False,0.0,14
VID2EDIT ‐ Hecho con Clipchamp_v30_best.jpg,T7F-234,0.0,,google_vision,VID2EDIT ‐ Hecho con Clipchamp.mp4,T7F-234,T7Q-367,False,0.5,14
VID2EDIT ‐ Hecho con Clipchamp_v31_best.jpg,,0.0,,google_vision,VID2EDIT ‐ Hecho con Clipchamp.mp4,,TEQ-850,False,0.0,14
VID2EDIT ‐ Hecho con Clipchamp_v32_best.jpg,140-222,0.0,,google_vision,VID2EDIT ‐ Hecho con Clipchamp.mp4,140-222,T4C-222,False,0.6667,14
VID2EDIT ‐ Hecho con Clipchamp_v36_best.jpg,T7F-234,0.0,,google_vision,VID2EDIT ‐ Hecho con Clipchamp.mp4,T7F-234,T7Q-367,False,0.5,14
VID2EDIT ‐ Hecho con Clipchamp_v49_best.jpg,PERU,0.0,,google_vision,VID2EDIT ‐ Hecho con Clipchamp.mp4,PERU,TEQ-850,False,0.2,14
VID2EDIT ‐ Hecho con Clipchamp_v4_best.jpg,T5M-212,0.0,,google_vision,VID2EDIT ‐ Hecho con Clipchamp.mp4,T5M-212,T5M-212,True,1.0,14
VID2EDIT ‐ Hecho con Clipchamp_v60_best.jpg,P3S-454,0.0,,google_vision,VID2EDIT ‐ Hecho con Clipchamp.mp4,P3S-454,P3S-454,True,1.0,14
VID2EDIT ‐ Hecho con Clipchamp_v76_best.jpg,,0.0,,google_vision,VID2EDIT ‐ Hecho con Clipchamp.mp4,,TEQ-850,False,0.0,14
VID2EDIT ‐ Hecho con Clipchamp_v87_best.jpg,,0.0,,google_vision,VID2EDIT ‐ Hecho con Clipchamp.mp4,,TEQ-850,False,0.0,14
VID2EDIT ‐ Hecho con Clipchamp_v98_best.jpg,IT PERU,0.0,,google_vision,VID2EDIT ‐ Hecho con Clipchamp.mp4,ITP-ERU,TEQ-850,False,0.3333,14
VID2EDIT ‐ Hecho con Clipchamp_v9_best.jpg,15H-212,0.0,,google_vision,VID2EDIT ‐ Hecho con Clipchamp.mp4,15H-212,T4E-110,False,0.3333,14
